"bar_index","sequence_index","chant","piano_right_hand","piano_left_hand"
"1","0","e''8.( c''16) c''8.( a'16) a'8[ b'8] c''8 d''8","<c'' e''>4 <a' c''>4 <fis' a'>2","<c, c>2 <d, d>2"
"2","0","c''4. d''16[ e''16] d''4 b'8.\noBeam b'16","r4 <fis' e''>4( <g' d''>8) <g' b'>8[ <g' b'>8 <g' b'>8 ]","r4 <c c'>4( <b, b>8) r8 g4"
"3","0","e'4.( fis'16) [ g'16 ] fis'4 a'8. [ d''16 ]","r4 <e' g'>4 <d' fis'>8 [ <fis' a'>8] <fis' a'>8 <a' d''>8","cis2 d4 d,4"
"4","0","\partial 2. <d' d''>4 r4 r4","\partial 2. r4 <fis'' a'>4 <d'' fis'>4","\partial 2. <d, d>2."
"5","0","fis'4. fis'8 \grace { fis'8 } e'8[ d'8] e'8 fis'8","<d' fis'>4 <d' fis'>4 <a e'>4 <a e'>4","<d fis>4 <d fis>4 <a, e>4 <a, e>4"
"6","0","a'4.( b'16) c''16 b'4 b'8.\noBeam g'16","a'8( d'8) <a' c''>8( d'8) <g' b'>8( d'8) <g' b'>8( d'8)","fis4 d4 g4 g,4"
"7","0","\partial 2. g'4 r4 r4","\partial 2. g'4 <d' b'>4 <b g'>4","\partial 2. <g b>4 r4 r4"
"8","0","a'4 d''8. c''16 b'4 d''16[ b'16] c''16 d''16","{<<{\voiceOne a'2( b'4) <g' d''>4} \new Voice {\voiceTwo r4 d'2.}>>}","<fis, fis>2( <g, g>4) b,4"
"9","0","a'8[ d''8] cis''8[ b'8 ] a'8[ b'8] cis''8[ d''8 ]","a'8 [ d''8 cis''8 b'8 ] a'4 r8 <fis' d''>8","{<<{\voiceOne a8[ b8 a8 g8 ] fis4 r8 d8} \new Voice {\voiceTwo d2. r4}>>}"
"10","0","c''4. a'8 b'4 d''8.\noBeam b'16","<a' c''>8[ d'8] <fis' a'>8[ d'8 ] <g' b'>8[ d'8] <b' d''>8[ <g' b'>8 ]","<d, d>2 g4 g,4"
"11","0","a'4.\fermata b'8 a'4 d''8.\noBeam d''16","<fis' a'>2.\fermata r4","<d d,>2.\fermata r4"
"12","0","a'4. b'16 c''16 b'4 g''8. d''16","<a' c''>2( <g' b'>8) <b' d''>8[ <b' d''>8 <b' d''>8]","r8 a8[ fis8 d8] g4 g,4"
"13","0","a'4 a'16( [ b'16 c''16 a'16 ] ) g'4 d''8.\noBeam d''16","\times 2/3 { c'8 [ d'8 a'8 ] } \times 2/3 { c'8 [ d'8 a'8 ] } \times 2/3 { b8 [ d'8 g'8 ] } \times 2/3 { g'8 [ b'8 d''8 ] }","<fis, fis>2 <g, g>4 <b, b>4"
"14","0","\partial 2. g'4 r4 r4","\partial 2. g'8.[ b'16 d''8. g''16] g'4","\partial 2. <g b>2."
"15","0","a'4. b'16 [ c''16 ] b'4 d''8.\noBeam [ d''16 ]","{<<{\voiceOne a'2 b'4 r4} \new Voice {\voiceTwo r4 d'2.}>>}","fis4 d4 g4 g,4"
"16","0","d''4 \times 2/3 { b'8 [ g'8 e'8 ] } d'4 \grace { fis'16 } e'8.\noBeam [ d'16 ]","<fis' d''>4 <g' b'>8. [ <e' g'>16 ] <d' fis'>4 <cis' e'>4","b4 g4 a4 a,4"
"17","0","c''4.( e''16) d''16 c''4 a'8.\noBeam d''16","<e' c''>2 <a' c''>4 <d' a'>4 \break","r8. c16 [ c'8. a16 ] fis2 \break"
"18","0","g'8 [ fis'8] g'8[ a'8 ] b'8[ g'8] b'8[ c''8 ]","<b g'>4. <d' a'>8 <g' b'>4. <a' c''>8","g4. fis8 e4. c8"
"19","0","\partial 4 d''8.( d''16)","\partial 4 r4","\partial 4 r4"
"19","1","f''4. d''8 \grace{c''8} b'4 a'8 gis'8","r4 <f' f''>4\f r4 <gis' b'>4\p","<d, d>2 <e, e>2"
"20","0","e''8[ g''8] fis''8[ e''8] d''8[ c''8] b'8[ a'8]","<g' e''>8\f [ <e'' g''>8 <d'' fis''>8 <c'' e''>8] <b' d''>8[ <a' c''>8 <g' b'>8 <fis' a'>8]","c4. c'8 d'4 d4"
"21","0","e''4( e''16) d''16 c''16 b'16 a'4 a'8.\noBeam d''16","<e' c'' e''>2 r8 d'16[ fis'16 a'8 d''8]","r8 c'16 [ b16 c'8 a8 ] fis2"
"22","0","\partial 2. \grace{a'4} g'2 r4","\partial 2. \grace{<c' a'>4} <b g'>2 r4","\partial 2. r8. g16[ d8. b,16] g,4"
"23","0","g'4 b'8.( a'16) g'4 g'4","\times 2/3 { b8 d'8 g'8} \times 2/3 { b8 d'8 g'8} \times 2/3 { b8 d'8 g'8} \times 2/3 { b8 d'8 g'8}","<g, g>1"
"24","0","cis''8 [ d''8] e''8[ d''8 ] g''8 [ d''8] b'8[ g'8 ]","r4 <g' b' d''>4 r4 <d' g' b'>4","g4 r4 g,4 r4"
"25","0","\partial 4 d''8. d''16","\partial 4 <d' fis' a' d''>4\f","\partial 4 <d, d>4"
"25","1","c''4( a'8)\noBeam e''8 e''4( d''8) c''8","\times 2/3 {r8 a'8[ c''8]} \times 2/3 {e''8 c''8 a'8} \times 2/3 {r8 fis'8 a'8} \times 2/3 {d''8 a'8 fis'8}","<c c'>2 <d d'>2"
"26","0","d''4. cis''8 c''8[ a'8] b'8 g'8]","{<<{\voiceOne d''4 cis''4 c''4 b'4} \new Voice {\voiceTwo <e' g'>2 d'2}>>}","<e, e>2 <fis, fis>4 <g, g>4"
