"bar_index","treble","bass"
"1","e''4 g'' e'' c''","r2 c'4 c'"
"2","r8 e''8 g'' [f''] e'' [g''] e'' c''","c'2. c'4"
"3","e''2. c''4","c'4 e'8 d'8 c'4 c'4"
"4","c''4 g' e'' c''","c2 c'2"
"5","r4 c''8 d'' e''4 c''4","r2 c'2"
"6","e''8 [f''] g'' [f''] f'' [e''] e'' c''","r4 e8 d c4 c'4"
"7","c''2 e''2","c'1"
"8","r8 c''8 c'' [d''] e'' [e''] d'' c''","c4 e8 g8 c'4 c'"
"9","c''4 c''8 [d''] e'' [d''] e'' c''","c'8 [c8] e g c'4 c'"
"10","d''4 g' g''2","c'4 b8 a b4 g"
"11","g''8 [a''] g'' fis'' g''2","c'4 c' b b"
"12","e''8 [g'] g'' fis'' g''2","c'8 [c'8] b [a] c' [b] a g"
"13","d''4 d'' g''2","c'4 b8 [a] b [d'] b g"
"14","d''4 g''8 fis''8 g''2","c'4 c'2 b4"
"15","d''2 g''","c'4 c'4 b e'4"
"16","g''8 [g'] g'' g'' g''2","c'4 b8 [a] b [c'] d' e'"
"17","d''8 [d''] g'' fis'' g''2","c'4 b4 e'8 [d'] c' b"
"18","g''4 g' g''2","c'8 [c'] b [a] c' [b] a g"
"19","g''8 [a''] b'' c''' f''2","a2 d'8 c' b a"
"20","g''4 c'' f''2","a2. b4"
"21","g''8 [c''] d'' e'' f''4 f''","a4 bes a8 [c'] a f"
"22","g''8 [c''] b' c'' f''2","a2 (a8) [b] c' d'"
"23","g''8 [g''] c'''8 g'' f''4 f''4","a2 d8 [f] e d"
"24","g''2 f''","a2. d'4"
"25","g''8 [g''] f'' e'' f''2","a4 a (a8) [a] g f"
"26","g''8 [e''] d'' c'' f''4 f''","a4 a2 d'4"
"27","g''8 [c''] f'' e'' f''2","a2 (a8) [c'] b a"
"28","f''4 f'' e''8 [c''] a'' c''","g4 a8 b c'2"
"29","f''4 e''8 d'' e''4 c''","g2 c'4 c'"
"30","f''8 [f''] e'' [d''] e'' [e''] d'' c''","g4 g4 c'2"
"31","f''4 e''8 [d''] e'' [g''] e'' c''","g8 [g] a b c'4 c'4"
"32","f''4 f''4 (f''8) [e''] d'' c''","g8 [d'] c' b c'4 c'"
"33","f''4. f''8 e'' [d''] e'' c''","g4 g c' c'"
"34","f''4 f''2 e''4","g8 [g] c'8 b c'4 c'"
"35","f''4 f'' e'' a''","g4 c'8 b c'2"
"36","f''8 [b'] c'' [d''] e'' [g''] f'' e''","g2 c4 c'4"
"37","d''2. c''8 d''","c'4 b8 a b2"
"38","d''4 g''8 a'' g''4. f''8","c'4 b8 a b4 a8 b"
"39","d''2 d''2","c'4 b4 (b8) a b4"
"40","d''1","c'8 [a] b [c'] b [c'] a b"
"41","d''4 g''2 f''8 g''8","c'4 c' b b"
"42","d''4 d''8 [c''] d'' e'' f''4","c'4 b2 a8 b"
"43","d''4 g'4 g'' f''","c'2 b2"
"44","d''4 g'' g' f''","c'2 b4 a8 b"
"45","d''4 g''8 [a''] g'' [a''] f'' g''","c'8 [c'] b [a] b [b] a b"
"46","e''8 [f''] d'' e'' c''2","c'1"
"47","e''8 [f''] e'' d'' c''2","c'1"
"48","e''4 d''8 e'' c''2","c'1"
"49","e''8 [d''] e'' d'' c''2","c'1"
"50","e''8 [f''] g'' e'' c''2","c'1"
"51","e''8 [g''] e'' d'' c''2","c'1"
"52","e''8 [c''] e'' d'' c''2","c'1"
"53","e''4. d''8 c''2","c'1"
"54","e''8 [c'''] g'' e'' c''2","c'1"
