"bar_index","piano_right_hand","piano_left_hand"
"1","\stemDown d''16 [\stemDown e''16 \stemDown f''16 \stemDown d''16] \stemDown b'8 [\stemDown d''8]","{<<{\voiceOne r8 <b f'>8 \stemUp <d' f'>8 [\stemUp <b f'>8]} \new Voice {\voiceTwo g2}>>}"
"2","\stemDown a''16 [\stemDown gis''16 \stemDown a''16 \stemDown b''16] \stemDown c'''8 [\stemDown d'''8]","\stemDown a8 [\stemDown <c' e'>8] \stemDown d8 [\stemDown <a d'>8]"
"3","\stemDown <c'' g''>8 [\stemDown <c'' fis''>8] <b' g''>4","\stemDown <g d'>8 [\stemDown <a d'>8] <g d'>4"
"4","\stemDown g'8 [\stemDown c''16 \stemDown d''16] \stemDown e''16 [\stemDown f''16 \stemDown g''8]","\stemDown e8 [\stemDown g8] \stemDown c'8 [\stemDown e'8]"
"5","\stemDown e''8. [\stemDown d''16 \stemDown b'8 \stemDown b'8]","\clef ""treble""{<<{\voiceOne r8 <b e'>8 \stemUp <d' e'>8 [\stemUp <d' e'>8]} \new Voice {\voiceTwo gis2}>>}"
"6","\stemDown cis''16 [\stemDown cis''16 \stemDown e''16 \stemDown cis''16] \stemDown a'8 [\stemDown e''8]","\clef ""bass"" {<<{\voiceOne r8 <e' g'>8 \stemUp <cis' g'>8 [\stemUp <cis' g'>8]} \new Voice {\voiceTwo a2}>>}"
"7","\stemDown c''8 [\stemDown <g' e''>8] <e' c''>4","\stemDown <c' e'>8 [\stemDown c'8] c4"
"8","\stemDown c''8 [\stemDown c''16 \stemDown b'16] \stemUp a'8 [\stemUp e'8]","\stemDown a,8 [\stemDown <a c'>8] \stemDown <a c'>8 [\stemDown <a c'>8]"
"9","\stemDown b'8 [\stemDown a''8] \stemDown g''8 [\stemDown f''8]","{<<{\voiceOne r8 <b d'>8 \stemUp <b d'>8 [\stemUp <b d'>8]} \new Voice {\voiceTwo g2}>>}"
"10","\stemUp b'8 [\stemUp g'8] g''4","\stemDown <g b d'>8 [\stemDown <g b>8] <g b>4"
"11","\stemDown f''16 [\stemDown e''16 \stemDown f''16 \stemDown a''16] \stemDown f''8 [\stemDown b'8]","\stemDown f8 [\stemDown <a d'>8] \stemDown g8 [\stemDown <d' f'>8]"
"12","\stemDown <e'' g''>8 [\stemDown <g' c''>8] <c'' e''>4","\stemDown c8 [\stemDown e'8] c'4"
"13","<a' c''>4 <g' cis''>4","<f f'>4 \stemDown <a e'>8 [\stemDown es'8]"
"14","\stemDown e''16 [\stemDown d''16 \stemDown cis''16 \stemDown e''16] d''4","{<<{\voiceOne r8 <b d'>8 \stemUp <b d'>8 [\stemUp <b d'>8]} \new Voice {\voiceTwo g2}>>}"
"15","\stemUp <e' g'>8 [\stemUp <f' a'>16 \stemUp <e' g'>16] \stemUp <e' g'>8 [\stemUp <e' c''>8]","{<<{\voiceOne r8 c'8 \stemUp c'8 [\stemUp c'8]} \new Voice {\voiceTwo c2}>>}"
"16","\stemDown g''16 [\stemDown a''16 \stemDown b''16 \stemDown c'''16] \stemDown d'''8 [\stemDown g''8]","\clef ""treble"" {<<{\voiceOne r8 <f' g'>8 \stemUp <f' g'>8 [\stemUp <f' g'>8]} \new Voice {\voiceTwo b2}>>}"
"17","\stemDown e''8 [\grace { \stemUp d''8 } \stemDown e''8] e'4","\stemDown <e gis b>8 [\grace { \stemUp dis'8 } \stemDown e'8] e4"
"18","\stemDown d'''16 [\stemDown cis'''16 \stemDown d'''16 \stemDown e'''16] \stemDown f'''8 [\stemDown a''8]","\clef ""bass"" {<<{\voiceOne r8 <d' f'>8 \stemUp <d' f'>8 [\stemUp <d' f'>8]} \new Voice {\voiceTwo d4 s4}>>}"
"19","\stemDown d'''8 [\stemDown a''8] \stemDown b''8 [\stemDown e'''8]","<fis c' d'>4 \stemDown <g b d'>8 [\stemDown <gis b d'>8] |"
"20","\stemDown g''16 [\stemDown fis''16 \stemDown fis''16 \stemDown e'''16] \stemDown e'''16 [\stemDown d'''16 \stemDown c'''16 \stemDown a''16]","{<<{\voiceOne r8 <a c'>8 \stemUp <a c'>8 [\stemUp <fis d'>8]} \new Voice {\voiceTwo d2}>>}"
"21","\stemDown e''8 [\stemDown d''8] \stemDown a''16 [\stemDown g''16 \stemDown f''16 \stemDown d''16]","{<<{\voiceOne r8 <b f'>8 r8 <b f'>8} \new Voice {\voiceTwo g4 g4}>>}"
"22","\stemDown c'''8 [\stemDown d'''16 \stemDown es'''16] \stemDown g''8 [\stemDown e''8]","<fis a c' es'>4 <g c' e'>4"
"23","\stemDown e''8 [\stemDown b'8] \stemDown gis''8 [\stemDown e''8]","\stemDown g8 [\stemDown <d' e'>8] \stemDown b8 [\stemDown <d' e'>8]"
"24","\stemDown c'''8 [\stemDown bes''8] \stemDown g''8 [\stemDown e''8]","\stemDown g8 [\stemDown <c' e'>8] \stemDown bes8 [\stemDown <c' g'>8]"
"25","\stemDown e''8 [\stemDown c''8] \stemDown g''8 [\stemDown e''8]","{<<{\voiceOne r8 <bes c'>8 \stemUp <bes c'>8 [\stemUp <bes c'>8]} \new Voice {\voiceTwo c2}>>}"
"26","\stemDown a'8 [\stemDown c''8] \stemDown e''8 [\stemDown a''8]","\stemDown a8 [\stemDown c'8] \stemDown e'8 [\stemDown a'8]"
"27","\stemDown c''8 [\stemDown e''8] \stemDown a''8 [\stemDown c'''8]","{<<{\voiceOne r8 <c' e'>8 \stemUp <c' e'>8 [\stemUp <c' e'>8]} \new Voice {\voiceTwo a2}>>}"
"28","\stemDown e''8 [\stemDown d''8] c''4","\stemDown <g c' e'>8 [\stemDown <g b f'>8] <c' e'>4"
"29","\stemDown d''8 [\stemDown e''16 \stemDown d''16] \stemDown a'8 [\stemDown f''8]","{<<{\voiceOne r8 <a d'>8 r8 <a d'>8} \new Voice {\voiceTwo f4 d4}>>}"
