"bar_index","piano_right_hand","piano_left_hand"
"1","g8 [b8] d'8 [g'8] b'8 [d''8]","g4 b4 g4"
"2","g''8. [b''16] e''8. [g''16] fis''8. [a''16]","e4 cis4 d4"
"3","\tuplet 3/2 {gis''8 [a''8 b''8]} b''2 ^\trill","r4 e4 d4"
"4","a''8 [b'8] r8 dis''8 fis''8 [a''8]","dis4 b,4 dis4"
"5","a''8 g''8 fis''8 [e''8] fis''4","e4 a,4 d4"
"6","a8 [cis'8] b8 [a8] cis''4","r4 g4. a8"
"7","d''4 fis''4 a''4","fis8 [e8] d4. fis8"
"8","a'2.","a,4 a8 [g8] fis8 [e8]"
"9","fis''8. [a''16] cis''8. [e''16] d''4","d4 a,4 d,4"
"10","cis''8 [e''8] d''8 [cis''8] b'8 [a'8]","r4 g4 g4"
"11","fis''8 [d''8] cis''8 [d''8] fis''8 [a''8]","r4 d4 d4"
"12","g''8. [b''16] dis''8. [fis''16] e''4","e4 b,4 e,4"
"13","\tuplet 3/2 {fis''8 [g''8 a''8]} fis''4 \tuplet 3/2 {cis''8 [d''8 e''8]}","d'4 a4 g4"
"14","fis''8 [e''8] e''4 fis''4","d4. a8 fis8 [d8]"
"15","g''8 [a'8] r8 cis''8 e''8 [g''8]","cis4 a,4 cis4"
"16","d'2.","d4 a,4 d,4"
"17","\tuplet 3/2 {b'8 [a'8 g'8]} b'4 b'4","r4 g4 g4"
"18","\tuplet 3/2 {fis''8 [e''8 d''8]} fis''4 fis''4","r4 d4 d4"
"19","fis''8 [d'8] r8 a''8 cis''8 ([d''8])","d4 e4 fis4"
"20","g'8 [e''8] e'8 [g'8] fis'4","e4 cis4 d4"
"21","r8 a'8 [b'8 a'8] e''8 [g''8]","cis2."
"22","a'8 [d''8] g''8 [fis''8] e''8 [d''8]","r4 d4 d4"
"23","a'8 [d''8] fis''4 e''4","d4 d'4 a4"
"24","d'2.","d4 a,4 d,4"
"25","b'8 [g'8] fis'8 [g'8] b'8 [d''8]","g4 g4 g4"
"26","d''8 [d'8] fis'4 e'4 ^\trill","fis8 [g8] a4 a,4"
"27","d''8 [fis'8] g'8 [e''8] e'8 [cis''8]","d4 g4 a4"
"28","d'8 [g'8] cis''8 [b'8] a'8 [g'8]","g4 g4 g4"
"29","d'8 [a'8] g''4 (fis''4)","r4 d4 d4"
"30","fis''8 [d''8] a'8 [fis'8] d'4","d4. d8 fis8 [d8]"
"31","a'4 g'4 ^\trill fis'4","e4 a,4 d4"
"32","a''4 fis''8 [a''8] cis''8 [e''8]","d4 d4 a4"
"33","\tuplet 3/2 {a''8 [g''8 fis''8]} a''4 a''4","dis4. b,8 dis8 [b,8]"
"34","\tuplet 3/2 {g''8 [e''8 d''8]} \tuplet 3/2 {cis''8 [d''8 e''8]} \tuplet 3/2 {a'8 [a''8 g''8]}","cis4 a,4 cis4"
"35","cis''8 [e''8] a4. cis''8","a,4 cis8 [e8] g,8 [g8]"
