"bar_index","piano_right_hand","piano_left_hand","violin_1","violin_2"
"1","g'16 b'16 d''16 g''16 g''16 d''16 b'16 g'16 g'4","b8 g8 r8 g8 b8 g8","g'16 b'16 d''16 g''16 g''16 d''16 b'16 g'16 g'4","g'8 b'8 r8 g'8 d'8 b8"
"2","{<<{\voiceOne fis'16 fis''16 e''16 fis''16 g''8. a''32 b''32 a''4} \new Voice {\voiceTwo d'16 d'' 16 cis''16 d''16 e''8. fis''32 g''32 fis''4}>>}","d4 d4 d8. e16","fis'16 fis''16 (e''16 fis''16) g''8. (a''32 b''32) a''4","d'16 \staccato d''16 (cis''16 d''16) e''8. (fis''32 g''32) fis''4"
"3","{<<{\voiceOne a'8 a'' (a''16) e'' fis'' cis'' \grace cis''8 d''4} \new Voice {\voiceTwo a'8 cis''4 cis''8 fis'4}>>}","r8 a8 a,8 a8 b8 b,8","a'8 a''8 (a''16) e''16 fis''16 cis''16 cis''8 d''8","a'8 cis''8 (cis''4) fis'4"
"4","{<<{\voiceOne fis'8 a'16 d'' fis''8 fis' g' fis'} \new Voice {\voiceTwo d'4. d'8 e' d'}>>}","d4 d4 d4","fis'8 a'16 d''16 fis''8 fis'8 g'8\trill fis'8","d'8 fis'16 a'16 d''8 d'8 e'8 \trill d'8"
"5","{<<{\voiceOne cis''8 e''16 gis' \grace gis'8 a'2} \new Voice {\voiceTwo r8. d'16 \grace d'8 cis'2}>>}","a4. e8 a,4","cis''8\trill e''16 gis'16 \grace gis'8 (a'2)","a'16 (e'16) cis'16 \staccato b16 \staccato  \grace cis'8 cis'2"
"6","{<<{\voiceOne fis'8 e'' (e''16) g' fis' e' e'' g' fis' e'} \new Voice {\voiceTwo d'4 cis' e'}>>}","g4 a4 cis4","e'8 e''8 (e''16) g'16 fis'16\trill e'16 e''16 g'16 fis'16\trill e'16","d'4 cis'4 e'4"
"7","e'8 \tuplet 3/2{gis'16 a' b'} e'8 \tuplet 3/2{b'16 cis''16 d''16} e'16 b''16 gis''16 d''16","gis8 e8 r8 e8 gis8 e8","e'8 \tuplet 3/2{gis'16 a' b'} e'8 \tuplet 3/2{b'16 cis'' d''} e'8 \tuplet 3/2{b''16 gis''16 d''16}","r4 e'8  \tuplet 3/2{gis'16 a' b'} e'8 b'8"
"8","e'16 a16 g'16 fis'16 a16 a'16 g'16 fis'16 e'4\trill","cis4 cis4 cis4","e'16 (a16) g'16\staccato fis'16\staccato e'16 (a16) g'16\staccato fis'16\staccato e'4\trill","r2."
"9","{<<{\voiceOne e'16 gis''16 gis''16 a''16 a''16 b''16 b''16 cis'''16 cis'''16 d'''16 d'''16 d''16} \new Voice {\voiceTwo e'16 e''16 e''16 fis''16 fis''16 gis''16 gis''16 a''16 a''16 b''16 b''16 b'16}>>}","e4 e4 e4","e'16 gis''16 gis''16 (a''16) a''16 (b''16) b''16 (cis'''16) cis'''16 (d'''16) d'''16\staccato d''16\staccato","e'16 e''16 e''16 (fis''16) fis''16 (gis''16) gis''16 (a''16) a''16 (b''16) b''16 \staccato b'16 \staccato"
"10","d''8 a'16 b'16 a'16 g'16 fis'16 e'16 d'4","d'8 a8 a16 g16 fis16 e16 d4","d''8 a'16 b'16 a'16 g'16 fis'16 e'16 d'4","r2."
