"bar_index","piano_right_hand","piano_left_hand"
"1","g''8[ g'' e'' c'' ]","c4 r"
"2","d''8[ f'' b' d'' ]","g,4 g,"
"3","\acciaccatura a''8 g''8 b'' 16 g'' d''4","< b, g > 4 g,"
"4","d' 8 [d'' fis'' a'']","d4 <c d>"
"5","c''4 c'","c4 c,"
"6","d''8 d''16 b' g'8 a'16 b'","g4 g,"
"7","c''8[ c'' e'' e'']","c4 c"
"8","d''8 [f'' b' d'']","g,4 g,"
"9","d''8 b' g'4","g,4 g16 f e d"
"10","g''8 [e'' c'' c'']","c4 r"
"11","<g' b' g''>4 r","<<{\voiceOne g,4 g16 f e d} \new Voice {\voiceTwo g,4 g,16 a, b, cis}>>"
"12","c''16 b' c'' d'' c''8 c''","c4 r"
"13","c''8 [ e'' g'' e'']","c4 c"
"14","g''8 [ e'' c'' c'' ]","c4 r"
"15","c''16 e'' g'' e'' c''8 c''","c4 c,"
"16","<g' b' g''>4 r","<<{\voiceOne g,4 g16 f e d} \new Voice {\voiceTwo g,4 g,16 a, b, cis}>>"
"17","d''16 e'' f'' e'' f'' d'' c'' b'","g,4 g,"
"18","e''8 [ c'' b' a']","c4 d"
"19","d''16 b' c'' a' g' g'' f'' d''","g,4 r"
"20","c''4 c'","c4 c,"
"21","d'8 fis'16 a' d'' fis'' a'' fis''","d4 <c d>"
"22","a''16 b'' a'' g'' \acciaccatura g''8 fis''8 e''16 d''","d4 <c d>"
"23","e''16 c'' e'' c'' a'8 fis''","c4 d"
"24","c'''16 b'' a'' g'' f'' e'' d'' c''","c4 r"
"25","d'' 8 [fis'' a'' fis'']","d 4 <c d>"
"26","e''8 [c'' g'' e'']","c4 c"
"27","a''16 g'' fis'' g'' d'' g'' d'' b'","<b, g>4 b,"
"28","g''16 fis'' e'' d'' c'' b' a' g'","<b, g>4 r"
"29","e''16 c'' g' c'' e'' c'' g'' e''","c4 c"
"30","g''8 [d'' d''(dis'')]","<b, g>4 b,"
"31","c''8 c''16 e'' f'' e'' g'' e''","c8 [ c c c ]"
"32","c'''8 [g'' e'' d'' ]","c4 r"
"33","c''16 c' e' g' c'' e'' g'' c'''","c4 c"
"34","g''16 b'' g'' d'' b' g'' d'' b'","g8 r g, r"
"35","c''16 d'' e'' d'' c'' e' g' c''","c4 c,"
"36","c''8 c'16 e' g'8 c''16 e''","c4 c"
"37","c''8 e'' g'4","c16 c' b c' c4"
"38","c''16 c''' g'' e'' c'' g'' e'' c''","c8 r c r"
"39","g''16 fis'' e'' d'' c'' b' a' g'","<b, g>4 r"
"40","f''16 e'' d'' c'' b' c'' d'' b'","g8 [g, g, g,]"
"41","c''4 c'","c4 c,"
"42","c''8 c''16 e'' g''8 g''16 e''","c4 r"
"43","d''16 cis'' d'' e'' fis'' g'' a'' fis''","d4 <c d>"
"44","<g' b' g''>4 r","<<{\voiceOne g,4 g16 f e d} \new Voice {\voiceTwo g,4 g,16 a, b, cis}>>"
"45","g''8 [c''' g'' e'']","c16 d c b, c d e c"
"46","d''8 b' g'4","g16 g, b, d g f e d"
"47","c''4 c'","c4 c,"
"48","c''8 c''16 e'' g''8 g''16 e''","c4 r"
"49","e''16 c'' b' a' g' b' fis' a'","c4 d8 d,"
"50","d'16 fis' a' d'' fis'' a'' fis'' d''","d8 r <c d> r"
"51","b'16 g'' d'' b' g'4","g,4 g16 f e d"
"52","g''8 [ b'' g'' d'' ]","b,16 g, b, d g d b, g,"
"53","g''8 [ f'' d'' b']","g,16 b, d b, f d b, g,"
"54","c''8 [ e'' e'' e'' ]","c16 e g e c e g e"
"55","g''8 [ g'' b'' g'' ]","b,16 d g d b,8 b,"
"56","d''8 [ d'' fis'' fis'' ]","d8 fis16 a d' a fis d"
"57","f''8 [ f'' d'' d'' ]","g8 g,16 a, b, c d b,"
