"bar_index","piano_right_hand","piano_left_hand"
"1","f''8 d''8 g''8","f8 d8 g8"
"2","a'8 fis'16 g'16 b'16 g''16","<b, g>4 r8"
"3","g''8 c''8 e''8","<c e>4 r8"
"4","g''8 d''4 \trill","g,16 b,16 g8 b,8"
"5","<g' b' d'' g''>4 r8","<<{\voiceOne g,8 g16 f16 e16 d16} \new Voice {\voiceTwo g,8 b16 g16 fis16 e16}>>"
"6","g'8 c''8 e''8","<c e>4 r8"
"7","e''16 c''16 e''16 g''16 c'''16 g''16","<c g>4 r8"
"8","c''4 r8","c8 g,8 c,8"
"9","<c'' e''>8 <b' d''>8 r8","g4 g,8"
"10","b'16 a'16 b'16 c''16 d''16 b'16","g4 r8"
"11","e''16 c''16 b'16 a'16 g'16 fis'16","c8 d8 d,8"
"12","<c'' e'>8 <c'' e'>8 <c'' e'>8","c8 c8 c8"
"13","c''8 g'8 e'8","<g e>4 r8"
"14","c''4 r8","c8 g,8 c,8"
"15","e''8 g''16 e''16 c''8","<c g>4 <c e>8"
"16","a''8 fis''8 d''8","<d fis>4 <c fis>8"
"17","c''16 g'16 c''16 e''16 g'16 c''16","<e g>4 r8"
"18","g'8 (c''8 e''8)","<c e>4 <c g>8"
"19","e''16 c''16 e''8 g''8","<c g>4 <c e>8"
"20","g''8 b''16 d'''16 d''8","b,4 r8"
"21","c''16 e''16 g''16 d''16 a'16 fis''16","c8 d8 d,8"
"22","e''8 c''8 g'8","c4 r8"
"23","f''16 e''16 d''16 e''16 f''16 g''16","f16 e16 d16 e16 f16 g16"
"24","<g' b' d'' g''>4 r8","<<{\voiceOne g,8 g16 f16 e16 d16} \new Voice {\voiceTwo g,8 b16 g16 fis16 e16}>>"
"25","d'16 fis'16 a'16 d''16 fis''16 a''16","d4 c8"
"26","<c'' e''>8 <c'' e''>8 <c'' e''>8","c16 e16 g16 e16 c'16 c16"
"27","f''16 e''16 f''16 d''16 c''16 b'16","<g b>4 r8"
"28","fis''16 d''16 a'16 a''16 fis''16 d''16","<c a>4 r8"
"29","b'16 d''16 g''16 d''16 b'8","g4 g,8"
"30","<g' b' d'' g''>4 r8","<<{\voiceOne g,8 g16 f16 e16 d16} \new Voice {\voiceTwo g,8 b16 g16 fis16 e16}>>"
"31","e''16 c''16 g'8 e''8","<c g>4 <c g>8"
"32","g'8 c''8 e''8","<c e>4 r8"
"33","<g' b' d'' g''>4 r8","<<{\voiceOne g,8 g16 f16 e16 d16} \new Voice {\voiceTwo g,8 b16 g16 fis16 e16}>>"
"34","e''16 c''16 d''16 b'16 g'8","g4 r8"
"35","a'8 d''8 fis''8","<d fis>4 <c a>8"
"36","a'16 e''16 d''16 g''16 fis''16 a''16","c8 d8 d,8"
"37","g''16 b''16 g''16 d''16 b'8","<b, d>4 r8"
"38","c''8 g'8 e''8","<c e>16 g16 <c e>16 g16 <c e>16 g16"
"39","g''8 g'8 g'8","b,16 d16 g16 d16 b,16 g,16"
"40","c''16 b'16 c''16 e''16 g'16 c''16","<c e>4 r8"
"41","c''16 b'16 c''16 e''16 g'8","<c e>4 r8"
"42","b'16 c''16 d''16 b'16 a'16 g'16","g,4 r8"
"43","g''8 f''16 e''16 d''16 c''16","<c e>4 r8"
"44","a'8 f''16 d''16 a'16 b'16","f4 g8"
"45","c''16 b'16 c''16 g'16 e'16 c'16","<e g>4 r8"
"46","g''8 b''16 g''16 d''16 b'16","<b, d>4 r8"
"47","g''8 g''16 d''16 g''8","<b, d>4 r8"
"48","e''8 c''16 e''16 g''16 c'''16","<c g>4 <c e>8"
"49","e''8 c''8 g'8","<c e>16 g16 <c e>16 g16 <c e>16 g16"
"50","c''8 e''16 c''16 g'8","<e g>4 r8"
"51","c''16 g'16 e''16 c''16 g''16 e''16","<c e>4 r8"
"52","d''16 cis''16 d''16 f''16 g'16 b'16","f4 g8"
"53","<c'' e''>8 <c'' e''>16 <d'' f''>16 <e'' g''>8","c4 r8"
"54","<c'' e'>8 <c'' e'>8 <c'' e'>8","c8 c8 c8"
"55","g''8 b''8 d''8","<b, d>4 r8"
"56","d''16 b'16 g'8 r8","<g, g>4 g8"
"57","e''8 c''8 g'8","<c e>16 g16 <c e>16 g16 <c e>16 g16"
"58","g''8 e''8 c''8","<c e>16 g16 <c e>16 g16 <c e>16 g16"
"59","g''8 c''8 e''8","<c e>16 g16 <c e>16 g16 <c e>16 g16"
"60","g''8 f''16 e''16 d''16 c''16","<c e>4 r8"
"61","c''8 e''16 c''16 g''8","<c g>4 r8"
"62","e''16 c''16 b'16 g'16 a'16 fis'16","c8 d8 d,8"
"63","e''16 c''16 b'16 c''16 g'8","c4 r8"
"64","e''16 g''16 c'''16 g''16 e''16 c''16","<c g>4 <c g>8"
"65","d''16 a'16 d''8 fis''8","{<< {\voiceOne fis4} \new Voice {\voiceTwo d4} >> r8}"
"66","fis''8 a''8 fis''8","{<< {\voiceOne a8 fis8 d8} \new Voice {\voiceTwo d8 d8 c8} >>}"
"67","c''16 b'16 c''16 e''16 g'16 c''16","<c e>4 <e g>8"
"68","g''8 b''16 g''16 b'16 g''16","b,4 r8"
"69","g''8 e''8 c''8","<c e>4 r8"
"70","fis''8 a''16 fis''16 d''16 fis''16","d4 c8"
"71","g''16 b''16 d'''16 b''16 g''8","<b, d>4 <b, d>8"
"72","f''16 e''16 d''16 c''16 b'16 d''16","f4 g8"
"73","g''8 e''8 c''8","<c e>16 g16 <c e>16 g16 <c e>16 g16"
"74","c'''16 b''16 c'''16 g''16 e''16 c''16","<c e>4 r8"
"75","<d'' fis''>8 <d'' fis''>8 <d'' fis''>8","c8 c8 c8"
"76","c'''16 b''16 c'''16 g''16 e''16 c''16","<c e>4 <c g>8"
"77","g''16 b''16 g''8 d''8","<b, d>4 <b, g>8"
"78","c''8 c'8 r8","c4 c,8"
"79","c''4 r8","c8 g,8 c,8"
"80","d''8 a'8 fis''8","c4 r8"
"81","<g' b' d'' g''>4 r8","<<{\voiceOne g,8 g16 f16 e16 d16} \new Voice {\voiceTwo g,8 b16 g16 fis16 e16}>>"
"82","d''16 b'16 g'8 g''8","<b, g>4 <b, d>8"
"83","c''4 r8","c8 g,8 c,8"
"84","c''16 g'16 e''16 c''16 g''16 e''16","<c e>4 r8"
"85","c''8 e''8 g'8","<e g>4 r8"
"86","d''8 d''16 g''16 b''8","<b, g>4 r8"
"87","g''8 c''8 e''8","<c e>4 <c g>8"
"88","g''16 d''16 g''16 b''16 g''16 d''16","<b, d>4 <b, d>8"
"89","f''16 e''16 d''8 g''8","f16 e16 d8 g8"
"90","fis''16 a''16 d'''16 a''16 fis''16 a''16","<c a>4 <c a>8"
"91","<g' b' d'' g''>4 r8","<<{\voiceOne g,8 g16 f16 e16 d16} \new Voice {\voiceTwo g,8 b16 g16 fis16 e16}>>"
"92","<b' d''>8 g''16 b''16 d''8","<g, g>4 g8"
"93","c''4 r8","c8 g,8 c,8"
"94","<g' b' d'' g''>4 r8","<<{\voiceOne g,8 g16 f16 e16 d16} \new Voice {\voiceTwo g,8 b16 g16 fis16 e16}>>"
"95","g''8 e''8 c''8","<c e>4 r8"
"96","e''8 c''8 g'8","c4 r8"
"97","g''16 fis''16 g''16 d''16 b'16 g'16","<b, d>4 <b, g>8"
"98","c''8 g'8 e''8","<c e>16 g16 <c e>16 g16 <c e>16 g16"
"99","fis''8 a''8 d''8","<c a>4 <c a>8"
"100","<g' b' d'' g''>4 r8","<<{\voiceOne g,8 g16 f16 e16 d16} \new Voice {\voiceTwo g,8 b16 g16 fis16 e16}>>"
"101","e''16 d''16 e''16 g''16 c'''16 g''16","<c g>4 <c e>8"
"102","fis''16 d''16 a'8 fis''8","<c a>4 <c a>8"
"103","c''16 e''16 c''16 g'16 e'8","<e g>4 r8"
"104","e''16 d''16 e''16 g''16 c'''16 g''16","c4 r8"
"105","fis''8 a''16 fis''16 d''16 fis''16","c4 r8"
"106","a'8 d''16 c''16 b'16 a'16","c8 d8 d,8"
"107","<g' b' d'' g''>4 r8","<<{\voiceOne g,8 g16 f16 e16 d16} \new Voice {\voiceTwo g,8 b16 g16 fis16 e16}>>"
"108","e''8 g''8 c'''8","<c g>4 <c e>8"
"109","d''16 f''16 d''16 f''16 b'16 d''16","<f a>4 <g d'>8"
"110","<b' d''>16 <a' c''>16 <a' c''>16 <g' b'>16 <g' b'>16 <fis' a'>16","c8 d8 d,8"
"111","c''4 r8","c8 g,8 c,8"
"112","e''8 c''8 g'8","<c e>16 g16 <c e>16 g16 <c e>16 g16"
"113","f''8 d''8 b'8","<g b>4 r8"
"114","<b' d''>8 <b' d''>8 <b' d''>8","g8 g8 g8"
"115","c''16 g'16 e''16 c''16 g''16 e''16","<c e>4 r8"
"116","d''16 f''16 a''16 f''16 d''16 b'16","f4 g8"
"117","d''16 a'16 d''16 fis''16 a''16 fis''16","<d fis>4 r8"
"118","e''16 a''16 g''16 b''16 fis''16 a''16","c8 d8 d,8"
"119","e''16 c''16 g''16 e''16 c'''16 g''16","<c e>4 r8"
"120","d'''8 a''16 fis''16 d''16 a'16","<d fis>4 <c fis>8"
"121","g''8 b''16 g''16 d''8","<b, g>4 r8"
"122","g''16 fis''16 g''16 b''16 d''8","<b, d>8 <b, d>8 <b, d>8"
"123","<g' b' d'' g''>4 r8","<<{\voiceOne g,8 g16 f16 e16 d16} \new Voice {\voiceTwo g,8 b16 g16 fis16 e16}>>"
"124","<c'' e'>8 <c'' e'>8 <c'' e'>8","c8 c8 c8"
"125","g''16 e''16 d''16 b'16 g'8","g8 g,8 r8"
"126","c''16 g'16 c''16 e''16 g''16 <c'' e''>16","e4 e16 c16"
"127","<g' b' d'' g''>4 r8","<<{\voiceOne g,8 g16 f16 e16 d16} \new Voice {\voiceTwo g,8 b16 g16 fis16 e16}>>"
"128","b'8 d''8 g''8","g,4 r8"
"129","a''16 g''16 fis''16 g''16 d''8","<b, d>8 <b, d>8 <b, g>8"
"130","<e' c''>8 <e' c''>8 <e' c''>8","c8 c8 c8"
"131","c''4 r8","c8 g,8 c,8"
"132","<c'' e''>8 <b' d''>16 <g' b'>16 g'8","g8 g,8 r8"
"133","d''8 g''16 d''16 b'16 d''16","<b, g>4 r8"
"134","a'16 e''16 <b' d''>16 <a' c''>16 <g' b'>16 <fis' a'>16","c8 d8 d,8"
"135","fis''8 fis''16 d''16 a''8","<c d>8 <c d>8 <c d>8"
"136","c'''16 b''16 c'''16 g''16 e''16 c''16","<c e>4 r8"
"137","c''8 g'8 e''8","<c e>16 g16 <c e>16 g16 <c e>16 g16"
"138","<a' d'' fis''>8 fis''4 \trill","d,16 d16 cis16 d16 c16 d16"
"139","g''16 b''16 g''16 b''16 d''8","g,4 r8"
"140","a'8 a'16 d''16 fis''8","<c fis>8 <c fis>8 <c a>8"
"141","d''16 e''16 f''16 d''16 c''16 b'16","<b, g>4 g,8"
"142","c''8 g'8 e''8","<c e>4 r8"
"143","g''8 d''16 b'16 g'8","<b, d>4 <b, d>8"
"144","g''8 c''8 e''8","<c e>16 g16 <c e>16 g16 <c e>16 g16"
"145","d''16 f''16 a'16 d''16 b'16 d''16","f4 g8"
"146","<fis' d''>8 <d'' fis''>8 <fis'' a''>8","c8 c8 c8"
"147","e''16 c'''16 b''16 g''16 a''16 fis''16","c8 d8 d,8"
"148","c'''16 b''16 c'''16 g''16 e''16 c''16","<c e>4 r8"
"149","f''16 d''16 a'8 b'8","f4 g8"
"150","<g' c'' e''>8 e''4 \trill","c16 b,16 c16 d16 e16 fis16"
"151","c''4 r8","c8 g,8 c,8"
"152","g''8 f''16 e''16 d''16 c''16","<c e>4 r8"
"153","d''16 a'16 fis''16 d''16 a''16 fis''16","c4 r8"
"154","d''16 cis''16 d''16 fis''16 a''16 fis''16","c4 r8"
"155","g''16 b''16 g''16 d''16 b'16 g'16","<b, d>4 r8"
"156","c''16 g'16 e''16 c''16 g''8","<e g>4 r8"
"157","e''16 d''16 e''16 g''16 c'''16 g''16","c4 r8"
"158","b'8 d''16 b'16 a'16 g'16","g,4 r8"
"159","e''16 g''16 d''16 c''16 b'16 a'16","c8 d8 d,8"
"160","c''16 b'16 c''16 e''16 g'16 c''16","<c e>4 <c e>8"
"161","<fis' d''>8 <fis' d''>8 <fis' d''>8","c8 c8 c8"
"162","e''16 d''16 e''16 g''16 c'''16 g''16","<c g>4 <c e>8"
"163","g''16 fis''16 g''16 d''16 b'16 g'16","<b, d>4 r8"
"164","d''8 g'4","g16 fis16 g16 d16 b,16 g,16"
"165","d''8 b'8 g'8","b,4 r8"
"166","d''16 b''16 g''16 d''16 b'8","<g b>4 r8"
"167","c''8 c''16 d''16 e''8","<c e>4 r8"
"168","g''8 f''16 e''16 d''16 c''16","<c e>4 <e g>8"
"169","e''16 g''16 d''16 g''16 a'16 fis''16","c8 d8 d,8"
"170","c''4 r8","c8 g,8 c,8"
"171","b'16 c''16 d''16 e''16 f''16 d''16","<g, g>4 <b, g>8"
"172","c''4 r8","c8 g,8 c,8"
"173","f''16 a''16 a'8 b'16 d''16","f4 g8"
"174","g'8 c''8 e''8","<c e>16 g16 <c e>16 g16 <c e>16 g16"
"175","e''16 c''16 b'16 d''16 g''8","g8 g,8 r8"
"176","a''16 g''16 b''16 g''16 d''16 g''16","<b, d>4 <b, d>8"
