"bar_index","piano_right_hand","piano_left_hand"
"1","{<<{\voiceOne bes'8 [a'8] a'8 [g'8] g'8 [f'8]} \new Voice {\voiceTwo g'8 [f'8] f'8 [bes8] bes8 [a8]}>>}","f4 f,4 r4"
"2","{<<{\voiceOne g''8 [f''8] f''8 [e''8] e''8 [d''8]} \new Voice {\voiceTwo e''8 [d''8] d''8 [g'8] g'8 [f'8]}>>}","d'4 d4 r4"
"3","{<<{\voiceOne r8 <g'bes'>8 <g'bes'>16 [<f'a'>16 <g'bes'>8] c'8 [<g'bes'>8]} \new Voice {\voiceTwo s2.}>>}","e2."
"4","{<<{\voiceOne r8 <e''cis''>8 <e''cis''>16 [<d''b'>16 <e''cis''>8] a'8 [<g''e''>8]} \new Voice {\voiceTwo s2.}>>}","a2 cis'4"
"5","{<<{\voiceOne \tuplet 3/2 {bes'8 [a'8 g'8]} g'2 ^\trill} \new Voice {\voiceTwo g'4 d'2}>>}","g8 [g,8] bes,8 [d8] g8 [g,8]"
"6","{<<{\voiceOne \tuplet 3/2 {cis''8 [d''8 e''8]} a'2} \new Voice {\voiceTwo e'4 cis'2}>>}","a4. e8 cis8 [a,8]"
"7","{<<{\voiceOne c''8 [a''8] a''4. c''8} \new Voice {\voiceTwo a'8 [c''8] c''4. a'8}>>}","fis8 [d8] fis8 [a8] d'8 [fis8]"
"8","{<<{\voiceOne d'8 [f'8] e'8 [d'8] d''8 [d''8]} \new Voice {\voiceTwo d'2 a'8 [f'8]}>>}","d4. d8 f8 [d8]"
"9","{<<{\voiceOne d'2.} \new Voice {\voiceTwo d'2.}>>}","d4 a,4 d,4"
"10","{<<{\voiceOne \tuplet 3/2 {a'8 [g'8 f'8]} g'2 ^\trill} \new Voice {\voiceTwo f'2 e'4}>>}","f4 c4 c,4"
"11","{<<{\voiceOne \tuplet 3/2 {f'8 [e'8 d'8]} e'2 ^\trill} \new Voice {\voiceTwo d'2 cis'4}>>}","d4 a4 a,4"
"12","{<<{\voiceOne bes'4 bes'4. c''8} \new Voice {\voiceTwo g'4 g'2}>>}","g,8 [e8] e16 ^\trill [d16 e8] g8 [e8]"
"13","{<<{\voiceOne \tuplet 3/2 {cis''8 [e''8 cis''8]} \tuplet 3/2 {a'8 [e'8 cis'8]} \tuplet 3/2 {a8 [g'8 e'8]}} \new Voice {\voiceTwo s2.}>>}","<cis e>4 <cis e>2"
"14","{<<{\voiceOne a''4. f''8 d''8 [a'8]} \new Voice {\voiceTwo f''4. d''8 a'4}>>}","\tuplet 3/2 {d8 [f8 a8]} d'4 f4"
"15","{<<{\voiceOne r8 a'8 bes'8 ^\trill [a'8] d''8 [d''8]} \new Voice {\voiceTwo r8 f'8 g'8 [f'8] f'8 [f'8]}>>}","d2 d4"
"16","{<<{\voiceOne g''8 ^\trill [f''8] a''8 [d'''8] d''4} \new Voice {\voiceTwo e''8 [d''8] d''4 d''4}>>}","d'4 d4 r4"
"17","{<<{\voiceOne a'8 [f''8] f'2} \new Voice {\voiceTwo s2.}>>}","<a f>8 [<c' a>8] <c' a>8 [<bes g>8] <bes g>8 [<a f>8]"
"18","{<<{\voiceOne g'8 [bes''8] a''8 [f'8] e'8 [g''8]} \new Voice {\voiceTwo e'8 [g''8] f''8 [d'8] cis'8 [e''8]}>>}","r4 a4 a4"
"19","{<<{\voiceOne \tuplet 3/2 {bes'8 [g'8 f'8]} \tuplet 3/2 {e'8 [f'8 g'8]} c'8. [bes'16]} \new Voice {\voiceTwo g'4 r4 r4}>>}","e4. c8 e8 [c8]"
"20","{<<{\voiceOne f'2.} \new Voice {\voiceTwo f'2.}>>}","f,4 a8 [g8] f8 [e8]"
"21","{<<{\voiceOne cis''8 [e''8] a'8 [g'8] f'8 [e'8]} \new Voice {\voiceTwo e'4 e'4 cis'4}>>}","a4 cis'4 a4"
