"bar_index","piano_right_hand","piano_left_hand"
"1","a''8 [fis''8] g''8 [e''8] cis''8 [e''8]","<fis,fis>4 <g,g>4 <a a,>4"
"2","r8 e'8 [gis'8 a'8] cis''8 [e''8]","{<<{\voiceOne r4 e4 a4} \new Voice {\voiceTwo cis2.}>>}"
"3","<fis'd''>4 <fis'd''>4 <fis'd''>4","d4 fis8 [a8] d'4"
"4","e''8. [b'16] a'8. [b'16] g'4","<g,g>4 <fis,fis>4 <e,e>4"
"5","a'2.","a,8 [cis8] e8 [a8] a,4"
"6","g''8 [d''8] b''8 [g''8] a''4","<b b,>4 <g,g>4 <fis,fis>4"
"7","bes'8 [a'8] a'4. a'8","r4 <e'cis'>4 <e'cis'>4"
"8","d''2.","r8 d8 [a,8 fis,8] d,4"
"9","a''8 [a'8] g''8 [g'8] fis''4","fis8 [fis'8] e8 [e'8] d8 [d'8]"
"10","g'4 g''8 [e''8] g''16 [fis''16 e''16 d''16]","<e,e>4 <cis,cis>4 <d,d>4"
"11","fis''8 [e''16 d''16] <a'cis''>4 <gis'b'>4","d'4 e'4 e4"
"12","b''4 b''16 [a''16 g''16 fis''16] e''16 [d''16 cis''16 b'16]","g,4 g4 r4"
"13","<a''fis''>4. <g''e''>8 <fis''d''>4","r4 a4 d'4"
"14","d''2.","d4 a,4 d,4"
"15","a'16 [b'16 cis''16 b'16] a'8 a''4 cis''8","r4 <e'g cis'>4 <e'cis'g>4"
"16","b'2 b''16 [a''16 g''16 fis''16]","\tuplet 3/2 {d8 [fis8 b8]} \tuplet 3/2 {d8 [fis8 b8]} \tuplet 3/2 {d8 [fis8 b8]}"
"17","dis''16 [e''8.] a''16 [cis''8.] d''16 [a'8.]","{<<{\voiceOne r4 a2} \new Voice {\voiceTwo s4 g4 fis4}>>}"
"18","a''16 [fis''16 cis''16 d''16] a'4 r4","r4 \tuplet 3/2 {fis8 [a8 d'8]} \tuplet 3/2 {fis8 [a8 d'8]}"
"19","cis''8 [e''8] r8 e''8 d''16 [cis''16 b'16 a'16]","{<<{\voiceOne r4 a4 a4} \new Voice {\voiceTwo s4 g4 g4}>>}"
"20","e''8 [fis''8] g''8 [a''8] b''4","r4 e8 [fis8] g4"
"21","b'8 [<fis''d''>8] <e''cis''>8 [<d''b'>8] <a'cis''>8 [<gis'b'>8]","d4 e4 e,4"
"22","g''16 [a''16 b''16 g''16] e''16 [fis''16 g''16 e''16] fis''4","<e,e>4 <cis'cis>4 <d'd>4"
"23","b'16 [b''16 a''16 g''16] <fis''d''>4 <e''cis''>4","g4 a4 a,4"
"24","a'2.","a4 e8. [cis16] a,4"
"25","a'4 a''16 [g''16 fis''16 e''16] dis''4","<fis,fis>4 r4 <b b,>4"
"26","g''8. [a''16] e''8. [g''16] cis''8. [e''16]","r4 <g,g>4 <a a,>4"
"27","d''8 [b''8] a''8 [g''8] fis''8 [e''8]","<g,g>4 <b b,>4 <g,g>4"
"28","fis''8 [d''8] ais'8 [b'8] cis''8 [d''8]","d4 d'4 r4"
"29","d''8 [e''8] fis''8 [g''8] a''4","r4 d8 [e8] fis4"
"30","a'2.","a4 e4 a,4"
"31","<e'cis''>2 <e'cis''>4","r8 bes ?8 [a8 g8] fis8 [e8]"
"32","fis''8. [g''16] e''8. [fis''16] d''4","{<<{\voiceOne a4 g4 fis4} \new Voice {\voiceTwo d2.}>>}"
"33","a'2.","r8 a8 e8 [cis8] a,4"
